track_name,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,album_img,category
(You Make Me Feel Like) A Natural Woman,Carole King,Tapestry,0.624,0.158,A,-13.059,major,0.0289,0.953,0.00135,0.112,0.303,85.492,0LXljhKMUgoLv8tLwZ1hmf,229067,3,A major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
"Something (From ""Concert for Bangladesh, The"")",The Hit Crew,"A Tribute to the Musical Guests of the Simpsons, Seasons 1-5, Vol. 3",0.671,0.464,G,-10.464,major,0.0245,0.417,0.0632,0.356,0.55,128.13,0Pu6yL6T7AkW8Ydpvn9Ium,189520,4,G major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/0850febcc1e38d3c919545e255b6ca05a8b052ca,_albumoftheyear
Too High,Stevie Wonder,Innervisions,0.637,0.635,A,-11.705,minor,0.0641,0.76,8.89e-4,0.1,0.52,99.226,60TB2Ifv7CCjjyROXXnChC,276227,4,A minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Visions,Stevie Wonder,Innervisions,0.491,0.214,F#,-16.001,minor,0.039,0.953,5.26e-4,0.104,0.126,130.59,43LDXcy86qmEgfy6Wd2AZk,323222,4,F# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Living For The City,Stevie Wonder,Innervisions,0.584,0.592,B,-9.885,major,0.0805,0.0938,0,0.258,0.433,100.036,3qvuhGBr6BSdGPQsdf2gLr,442867,4,B major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Golden Lady,Stevie Wonder,Innervisions,0.42,0.805,F,-9.713,minor,0.0659,0.233,0,0.173,0.537,102.156,1bpaA5Pn4jlo1cRAOBNQnh,298467,4,F minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Higher Ground,Stevie Wonder,Innervisions,0.723,0.85,G#,-9.955,major,0.042,0.0627,0.00149,0.194,0.811,125.443,0dMd4rilfd6gPbXaLpNYhu,222600,4,G# major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Jesus Children Of America,Stevie Wonder,Innervisions,0.586,0.758,C#,-11.129,minor,0.0652,0.521,1.33e-6,0.196,0.73,103.611,0FKbjXqDqOqFnKZEHbHerY,250107,4,C# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
All In Love Is Fair,Stevie Wonder,Innervisions,0.474,0.344,C#,-11.941,minor,0.0287,0.833,3.5e-6,0.217,0.111,132.864,7asmbWITwvuo1toSvoImnk,221960,4,C# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Don't You Worry 'Bout A Thing,Stevie Wonder,Innervisions,0.715,0.72,B,-9.261,major,0.0436,0.0359,0,0.065,0.908,124.693,1QvWxgZvTU0w8rlPRE5Zrv,284840,4,B major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
