mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth,ottoneu_id,ottoneu_name,ottoneu_pos
449060,Clay Rapada,P,LAA,Los Angeles Angels,R,L,1981,41492,rapadcl01,Clay Rapada,1174235,Clay Rapada,RP,28807,Clay Rapada,RP,4831,Clay Rapada,P,rapadcl01,8056,Clay Rapada,P,rapac001,Clay Rapada,20070614,8056,Clay Rapada,RP,,491,Clay Rapada,RP
607185,Clayton Blackburn,P,TEX,Texas Rangers,L,R,1993,70546,,,1947853,Clayton Blackburn,RP,32172,Clayton Blackburn,RP,sa598302,Clayton Blackburn,,,9624,Clayton Blackburn,P,,,22220202,9624,Clayton Blackburn,SP,,18208,Clayton Blackburn,SP
477132,Clayton Kershaw,P,LAD,Los Angeles Dodgers,L,L,1988,49786,kershcl01,Clayton Kershaw,1221725,Clayton Kershaw,SP,28963,Clayton Kershaw,SP,2036,Clayton Kershaw,P,kershcl01,8180,Clayton Kershaw,P,kersc001,Clayton Kershaw,20080525,8180,Clayton Kershaw,SP,SP1,2925,Clayton Kershaw,SP
489150,Clayton Mortensen,P,BOS,Boston Red Sox,R,R,1985,56160,mortecl01,Clayton Mortensen,1537189,Clayton Mortensen,SP,29685,Clayton Mortensen,RP,3166,Clayton Mortensen,P,mortecl01,8517,Clayton Mortensen,P,mortc003,Clayton Mortensen,20090629,8517,Clayton Mortensen,RP,,17644,Clayton Mortensen,RP
453385,Clayton Richard,P,SD,San Diego Padres,L,L,1983,48674,richacl01,Clayton Richard,1103052,Clayton Richard,SP,29195,Clayton Richard,SP,3551,Clayton Richard,P,richacl01,8309,Clayton Richard,P,richc002,Clayton Richard,20080723,8309,Clayton Richard,SP,SP1,1943,Clayton Richard,SP/RP
460004,Clete Thomas,OF,MIN,Minnesota Twins,L,R,1983,49005,thomacl02,Clete Thomas,1102860,Clete Thomas,RF,29077,Clete Thomas,RF,3373,Clete Thomas,OF,thomacl02,8203,Clete Thomas,OF,thomc002,Clete Thomas,20080331,8203,Clete Thomas,CF/LF,,3522,Clete Thomas,Util
424324,Cliff Lee,P,PHI,Philadelphia Phillies,L,L,1978,1102,leecl02,Cliff Lee,370395,Cliff Lee,SP,5353,Cliff Lee,SP,1636,Cliff Lee,P,leecl02,7026,Cliff Lee,P,lee-c003,Cliff Lee,20020915,7026,Cliff Lee,SP,,3587,Cliff Lee,RP
460060,Cliff Pennington,2B,LAA,Los Angeles Angels,S,R,1984,48486,pennicl01,Cliff Pennington,583198,Cliff Pennington,2B,29210,Cliff Pennington,2B,3395,Cliff Pennington,2B/SS,pennicl01,8324,Cliff Pennington,2B,pennc001,Cliff Pennington,20080812,8324,Cliff Pennington,2B,SS3,2149,Cliff Pennington,2B/SS/3B
425549,Clint Barmes,SS,KC,Kansas City Royals,R,R,1979,32450,barmecl01,Clint Barmes,292678,Clint Barmes,SS,5798,Clint Barmes,SS,1830,Clint Barmes,2B/SS,barmecl01,7231,Clint Barmes,SS,barmc001,Clint Barmes,20030905,7231,Clint Barmes,SS,,1137,Clint Barmes,SS
640449,Clint Frazier,LF,NYY,New York Yankees,R,R,1994,102429,frazicl01,Clint Frazier,2066293,Clint Frazier,LF,33188,Clint Frazier,LF,15983,Clint Frazier,OF,,9564,Clint Frazier,CF,,,20170701,9564,Clint Frazier,CF,,18246,Clint Frazier,OF
