objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid
131705,131705,271,986,.12148075,13501.249,8.3892841,CHARLOTTE,503,BABCOCK NEIGHBORHOOD SCHOOL,26.783669,-81.747192,LEE,321,ORANGE RIVER ELEMENTARY SCHOOL,26.676897,-81.805138,824,317,33,8,80
493316,493316,986,271,.12148075,13501.249,8.3892841,LEE,321,ORANGE RIVER ELEMENTARY SCHOOL,26.676897,-81.805138,CHARLOTTE,503,BABCOCK NEIGHBORHOOD SCHOOL,26.783669,-81.747192,306,812,8,33,80
497739,497739,1001,271,.13636515,15155.485,9.4171791,LEE,381,TICE ELEMENTARY SCHOOL,26.66873,-81.820572,CHARLOTTE,503,BABCOCK NEIGHBORHOOD SCHOOL,26.783669,-81.747192,306,816,8,33,80
134358,134358,276,1066,.46976283,52208.973,32.441139,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,MANATEE,801,ROBERT WILLIS ELEMENTARY SCHOOL,27.398676,-82.392899,904,313,37,8,81
520032,520032,1066,276,.46976283,52208.973,32.441139,MANATEE,801,ROBERT WILLIS ELEMENTARY SCHOOL,27.398676,-82.392899,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,311,904,8,37,81
135440,135440,278,1066,.4837938,53768.359,33.410099,CHARLOTTE,231,MYAKKA RIVER ELEMENTARY SCHOOL,26.941238,-82.235397,MANATEE,801,ROBERT WILLIS ELEMENTARY SCHOOL,27.398676,-82.392899,904,314,37,8,81
134363,134363,276,1051,.4919681,54676.84,33.974602,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,MANATEE,771,GILBERT W MCNEAL ELEM SCHOOL,27.424976,-82.394379,889,313,37,8,81
137586,137586,282,1066,.49594912,55119.289,34.249527,CHARLOTTE,191,VINELAND ELEMENTARY SCHOOL,26.914793,-82.284164,MANATEE,801,ROBERT WILLIS ELEMENTARY SCHOOL,27.398676,-82.392899,904,312,37,8,81
133880,133880,275,1596,.77772737,86435.844,53.708725,CHARLOTTE,301,KINGSWAY ELEMENTARY SCHOOL,27.011627,-82.065018,POLK,802,LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,27.743809,-81.802773,1627,316,49,8,82
875496,875496,1596,275,.77772737,86435.844,53.708725,POLK,802,LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,27.743809,-81.802773,CHARLOTTE,301,KINGSWAY ELEMENTARY SCHOOL,27.011627,-82.065018,310,1602,8,49,82
875495,875495,1596,276,.7858125,87334.414,54.267071,POLK,802,LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,27.743809,-81.802773,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,311,1602,8,49,82
134425,134425,276,1596,.7858125,87334.414,54.267071,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,POLK,802,LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,27.743809,-81.802773,1627,313,49,8,82
875498,875498,1596,273,.78644598,87404.82,54.310818,POLK,802,LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,27.743809,-81.802773,CHARLOTTE,251,DEEP CREEK ELEMENTARY SCHOOL,26.985376,-82.010803,308,1602,8,49,82
134316,134316,276,1694,.043352474,4818.1504,2.9938591,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,SARASOTA,1241,ATWATER ELEMENTARY,27.064596,-82.106567,1686,313,52,8,83
940500,940500,1716,276,.057116237,6347.8413,3.9443645,SARASOTA,1231,TOLEDO BLADE ELEMENTARY SCHOOL,27.066143,-82.148483,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,311,1703,8,52,83
134312,134312,276,1716,.057116237,6347.8413,3.9443645,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,27.021671,-82.11264,SARASOTA,1231,TOLEDO BLADE ELEMENTARY SCHOOL,27.066143,-82.148483,1708,313,52,8,83
135935,135935,279,1694,.06387765,7099.2979,4.4112978,CHARLOTTE,111,NEIL ARMSTRONG ELEMENTARY SCHOOL,27.003725,-82.087196,SARASOTA,1241,ATWATER ELEMENTARY,27.064596,-82.106567,1686,310,52,8,83
134856,134856,277,1716,.083036236,9228.5645,5.7343621,CHARLOTTE,141,MEADOW PARK ELEMENTARY SCHOOL,26.986858,-82.12381,SARASOTA,1231,TOLEDO BLADE ELEMENTARY SCHOOL,27.066143,-82.148483,1708,311,52,8,83
139442,139442,284,562,.78002036,86690.688,53.867077,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,29.592583,-82.978157,400,326,14,9,84
273501,273501,562,284,.78002036,86690.688,53.867077,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,29.592583,-82.978157,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,319,397,9,14,84
273500,273500,562,285,.79879284,88777.039,55.163479,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,29.592583,-82.978157,CITRUS,102,CRYSTAL RIVER PRIMARY SCHOOL,28.901682,-82.577248,320,397,9,14,84
140233,140233,285,562,.79879284,88777.039,55.163479,CITRUS,102,CRYSTAL RIVER PRIMARY SCHOOL,28.901682,-82.577248,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,29.592583,-82.978157,400,323,14,9,84
138645,138645,283,562,.82105762,91251.523,56.70105,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,29.592583,-82.978157,400,321,14,9,84
139463,139463,284,723,.69657415,77416.555,48.104401,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,GILCHRIST,41,TRENTON ELEMENTARY SCHOOL,29.619484,-82.772064,561,326,19,9,85
315964,315964,723,284,.69657415,77416.555,48.104401,GILCHRIST,41,TRENTON ELEMENTARY SCHOOL,29.619484,-82.772064,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,319,561,9,19,85
