Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
42,"October 9, 2017",12:37,F9 B4 B1041.1,VAFB SLC-4E,Iridium NEXT 21–30,"9,600 ",LEO,Iridium Communications,Success,Success (drone ship)
43,"October 11, 2017",22:53,F9 FT B1031.2,KSC LC-39A,SES-11 / EchoStar 105,"5,200 ",GTO,SES EchoStar,Success,Success (drone ship)
44,"October 30, 2017",19:34,F9 B4 B1042.1,KSC LC-39A,Koreasat 5A,"3,500 ",GTO,KT Corporation,Success,Success (drone ship)
45,"December 15, 2017",15:36,F9 FT B1035.2,CCAFS SLC-40,SpaceX CRS-13,"2,205 ",LEO,NASA (CRS),Success,Success (ground pad)
46,"December 23, 2017",1:27,F9 FT B1036.2,VAFB SLC-4E,Iridium NEXT 31–40,"9,600 ",LEO,Iridium Communications,Success,Success (ocean)
47,"January 8, 2018",1:00,F9 B4 B1043.1,CCAFS SLC-40 (after static fire on KSC LC-39A),Zuma,Classified,LEO,Northrop Grumman,Success  (payload status unclear),Success (ground pad)
48,"January 31, 2018",21:25,F9 FT B1032.2,CCAFS SLC-40,GovSat-1 / SES-16,"4,230 ",GTO,SES,Success,Success (ocean)
FH 1,"February 6, 2018",20:45,"Heavy B1033.1, B1023.2 (side), B1025.2 (side)",KSC LC-39A,Elon Musk's Tesla Roadster,"~1,300 ",HCO 0.99 to 1.67 AU,SpaceX,Success,"Failure (drone ship), Success (ground pad), Success (ground pad)"
49,"February 22, 2018",14:17,F9 FT B1038.2,VAFB SLC-4E,Paz (with AIS receiver and ROHP experiment)  Tintin A & B,"2,150 ",SSO,Hisdesat exactEarth SpaceX,Success,No attempt
50,"March 6, 2018",5:33,F9 B4 B1044,CCAFS SLC-40,Hispasat 30W-6,"6,092",GTO,Hispasat,Success,No attempt
