female,white,age,ideology,newsdays,bush,obama,mccain,clinton,limbaugh
0,1,45,7,0,85,15,85,0,100
0,1,51,6,7,50,15,100,40,70
0,1,45,6,0,70,0,70,15,60
0,1,24,3,0,0,85,40,50,15
1,1,25,3,1,15,70,40,85,0
0,1,36,4,0,0,70,30,30,0
0,0,69,7,7,30,100,85,70,70
1,0,76,2,7,15,100,15,50,0
0,1,64,6,7,85,60,85,70,85
0,1,24,4,5,35,80,50,60,50
1,1,48,6,7,60,0,70,30,70
1,1,26,5,2,15,100,30,100,50
1,1,66,4,7,0,85,60,30,0
1,1,52,6,1,60,15,60,30,50
1,1,38,5,3,15,0,85,60,50
1,1,43,4,5,40,85,70,60,50
0,1,42,5,3,85,40,85,50,60
0,0,49,2,7,30,85,30,85,0
1,1,54,4,7,85,50,70,30,30
1,0,77,6,2,50,70,50,100,60
1,1,72,5,7,0,0,52,0,100
0,1,87,5,7,0,50,50,0,30
0,1,77,7,7,70,0,70,30,50
0,1,46,4,0,52,53,53,45,49
0,1,37,5,5,75,50,60,15,0
0,1,22,4,0,0,70,50,85,50
1,1,63,4,1,0,0,30,50,0
0,1,37,4,7,0,50,40,100,60
0,1,18,5,2,70,50,85,50,60
1,1,43,5,0,60,50,70,60,40
1,1,33,5,3,85,60,85,15,70
0,1,42,5,3,30,0,60,70,50
1,1,42,1,7,0,100,40,100,0
1,1,75,6,1,15,50,30,70,50
0,1,70,5,3,85,60,85,40,60
0,1,26,4,2,20,88,30,65,2
0,1,43,6,7,85,50,100,85,100
0,1,50,7,6,70,35,55,25,90
1,1,31,2,2,70,40,100,60,40
1,1,47,4,3,70,50,85,50,40
0,1,46,2,7,0,85,15,85,0
0,0,51,6,7,60,100,40,60,15
0,1,77,4,7,100,0,100,0,60
0,1,36,4,5,60,70,70,85,85
1,1,41,6,7,85,40,60,60,40
0,1,48,5,3,15,85,40,85,0
0,0,52,4,7,15,85,15,50,15
1,0,30,4,2,60,100,50,100,50
0,0,41,4,1,60,85,50,60,50
0,0,40,4,4,0,100,30,85,0
0,0,22,4,1,15,85,15,30,50
1,0,26,6,4,40,85,30,40,50
1,1,69,5,7,15,50,85,60,70
0,1,62,6,7,85,30,85,60,70
1,1,37,2,4,60,40,50,0,30
1,1,44,6,0,70,0,70,50,60
1,0,49,7,5,30,100,50,60,50
0,1,34,4,0,0,70,40,60,0
0,1,43,6,0,85,50,85,50,85
1,1,65,6,2,40,40,15,40,70
1,0,65,6,7,0,100,15,85,0
0,1,50,5,5,100,0,100,0,85
1,0,22,2,3,0,100,0,85,50
0,0,37,4,0,0,70,15,30,40
0,0,57,5,2,0,70,40,60,50
0,0,58,4,7,0,85,15,60,30
0,0,44,2,5,0,100,30,100,0
1,0,39,1,7,0,100,0,40,0
0,1,23,6,7,85,15,85,30,70
1,1,57,4,2,0,85,50,100,70
1,1,33,3,3,15,85,15,100,30
0,1,73,6,7,0,15,100,100,0
1,1,50,2,7,15,85,60,70,30
0,1,50,5,7,50,40,50,50,30
1,1,40,5,0,55,75,60,5,50
0,1,51,4,4,50,50,40,60,50
1,1,75,4,7,50,50,60,70,40
1,0,63,4,7,0,70,0,60,0
0,1,44,2,0,30,85,30,70,15
0,0,24,4,7,0,85,50,70,0
0,1,71,4,7,30,70,0,60,0
1,1,64,5,2,40,85,30,30,15
1,1,63,7,7,100,15,100,15,70
0,1,53,4,7,60,50,55,0,70
1,1,90,4,7,85,50,50,70,30
1,1,72,3,7,15,100,50,100,50
0,1,45,6,2,75,15,75,30,80
1,1,43,5,7,15,60,30,70,40
1,1,54,5,5,40,15,40,15,30
0,1,32,4,5,40,100,40,70,30
1,1,72,2,7,0,60,40,100,0
1,1,35,4,7,85,0,85,0,70
0,0,86,4,4,40,50,15,0,60
1,0,32,5,4,50,100,70,100,70
0,0,35,4,7,25,100,50,85,0
0,0,60,4,7,15,70,40,60,0
0,0,31,5,4,30,85,50,85,40
1,0,29,4,1,60,85,60,85,70
0,0,43,2,7,15,70,60,85,40
1,0,44,1,2,30,50,30,50,50
0,0,38,4,1,70,85,70,70,50
0,0,37,4,2,60,100,50,60,50
1,1,30,4,0,40,55,70,85,50
1,1,58,1,7,0,60,50,100,15
1,1,40,5,2,70,40,50,30,50
0,1,37,2,0,60,50,50,85,15
0,1,23,3,1,60,30,50,50,50
1,1,52,5,4,85,0,85,40,70
1,1,64,1,7,30,100,30,100,15
0,1,52,3,6,0,75,10,80,0
0,1,30,5,0,50,50,60,30,50
0,1,63,1,7,0,80,50,60,0
0,1,45,6,3,70,30,85,0,50
1,1,58,3,7,30,85,40,70,15
0,1,31,7,0,70,15,85,0,100
0,1,70,6,3,30,30,60,40,15
0,1,33,4,2,0,60,0,85,50
0,1,54,6,6,70,40,80,20,40
0,0,43,4,3,59,60,50,50,50
1,0,62,5,7,50,100,50,85,50
1,0,51,3,7,0,100,15,50,50
1,0,56,4,6,60,75,70,60,45
1,0,36,3,6,15,100,0,70,0
0,0,63,3,4,0,85,0,60,0
1,0,25,2,1,30,100,30,100,50
0,0,36,5,1,15,85,30,70,40
1,1,56,2,0,0,60,15,85,50
0,1,38,6,1,30,30,60,50,40
0,0,27,7,5,50,100,60,100,60
1,0,87,2,7,50,90,75,100,0
0,1,50,4,0,40,60,50,0,40
1,1,26,4,0,40,60,70,70,30
1,1,35,4,3,15,70,40,85,30
0,1,47,3,3,50,70,70,60,0
1,1,34,2,0,0,100,0,100,0
0,1,45,3,1,70,70,85,60,40
1,1,50,1,0,0,60,0,60,0
0,1,39,7,7,100,0,85,0,70
1,1,80,4,5,15,60,70,85,0
1,1,74,5,7,15,60,60,85,0
1,0,40,4,4,40,85,15,70,40
1,1,44,5,7,30,100,40,70,0
1,1,30,5,2,65,49,70,45,50
1,1,58,6,7,60,40,70,60,15
1,1,63,1,7,0,100,15,70,0
0,1,31,6,0,60,30,85,30,0
1,1,54,6,0,100,0,100,0,60
0,1,54,6,0,30,0,50,0,70
0,0,31,4,2,0,85,60,100,30
0,0,45,4,7,15,85,30,85,15
1,0,29,5,7,40,85,50,85,30
1,0,61,2,1,15,85,40,60,0
1,0,67,4,7,0,100,0,100,0
1,0,70,4,5,15,100,0,70,15
1,0,37,4,7,0,100,0,85,50
0,0,60,5,7,50,50,50,50,0
0,0,29,3,3,25,100,0,100,0
1,1,49,6,1,85,30,70,15,30
0,1,62,5,0,70,15,85,50,70
1,1,60,3,6,15,85,30,100,15
1,1,42,3,0,30,0,85,40,40
1,1,69,5,7,15,40,60,100,30
1,1,64,2,1,0,0,0,100,0
1,1,48,6,7,70,30,70,60,85
1,1,22,2,3,0,60,15,50,15
1,1,49,5,7,60,40,40,60,60
0,0,80,2,7,0,100,40,60,30
0,1,39,4,7,85,70,85,85,50
1,1,31,2,3,0,100,15,100,0
1,0,36,1,5,0,100,0,85,0
1,0,39,4,7,40,85,50,95,60
1,1,57,4,0,40,60,40,0,70
0,1,45,4,0,50,50,50,85,0
0,0,40,4,3,15,100,15,100,70
0,1,80,5,0,85,50,85,15,60
0,0,53,7,0,0,30,0,0,70
1,1,24,5,2,15,60,85,40,15
0,1,57,5,0,70,60,60,40,60
0,1,56,5,0,70,40,60,60,40
0,1,33,5,0,40,40,50,50,50
0,1,57,4,2,30,15,30,50,0
