Date,High,Number,Precipitation
2023-08-20,86,63,0
2023-08-21,92,63,0
2023-08-22,93,69,0
2023-08-23,93,67,0
2023-08-24,85,64,0
2023-08-25,92,64,0
2023-08-26,90,71,0
2023-08-27,95,72,0.06
2023-08-28,91,73,0.43
2023-08-29,85,71,0.15
2023-08-30,85,71,0.43
2023-08-31,84,65,0.57
2023-09-01,80,56,0
2023-09-02,80,56,0
2023-09-03,83,56,0
2023-09-04,90,59,0
2023-09-05,93,67,0
2023-09-06,94,70,0
2023-09-07,96,70,0
2023-09-08,94,69,0
2023-09-09,91,69,0.03
2023-09-10,74,67,0.95
2023-09-11,85,66,0
2023-09-12,86,66,0
2023-09-13,86,66,0.23
2023-09-14,83,66,0
2023-09-15,82,58,0
2023-09-16,77,52,0
2023-09-17,83,52,0
2023-09-18,73,58,0.65
2023-09-19,79,53,0
2023-09-20,80,53,0
2023-09-21,81,56,0
2023-09-22,80,58,0
2023-09-23,68,56,0.55
2023-09-24,61,56,1.2
2023-09-25,n/a,n/a,n/a
2023-09-26,81,63,0
2023-09-27,70,60,0
2023-09-28,65,59,0
2023-09-29,73,59,0
2023-09-30,72,57,0
2023-10-01,73,55,0
2023-10-02,n/a,n/a,n/a
2023-10-03,81,56,0
2023-10-04,80,57,0
2023-10-05,79,56,0
2023-10-06,81,56,0
2023-10-07,77,62,0.01
2023-10-08,71,42,0.03
2023-10-09,65,40,0
2023-10-10,71,39,0
2023-10-11,73,48,0
2023-10-12,70,51,0.01
2023-10-13,74,50,0
2023-10-14,79,50,0.05
2023-10-15,66,50,1.3
2023-10-16,62,47,0
2023-10-17,62,46,0
2023-10-18,66,47,0
2023-10-19,69,43,0
2023-10-20,72,43,0
2023-10-21,69,47,0.4
2023-10-22,69,46,0
2023-10-23,71,41,0
2023-10-24,68,36,0
2023-10-25,n/a,n/a,n/a
2023-10-26,77,41,0
2023-10-27,79,49,0
2023-10-28,80,53,0
2023-10-29,85,56,0
2023-10-30,82,57,0
2023-10-31,n/a,n/a,n/a
2023-11-01,53,38,0.05
2023-11-02,n/a,n/a,n/a
2023-11-03,53,26,0
2023-11-04,63,27,0
2023-11-05,72,30,0
2023-11-06,n/a,n/a,n/a
2023-11-07,n/a,n/a,n/a
2023-11-08,81,46,0
2023-11-09,78,48,0
2023-11-10,84,54,0
2023-11-11,62,46,0
2023-11-12,54,46,0
2023-11-13,n/a,n/a,n/a
2023-11-14,n/a,n/a,n/a
2023-11-15,n/a,n/a,n/a
2023-11-16,n/a,n/a,n/a
2023-11-17,72,39,0
2023-11-18,72,43,0
2023-11-19,73,35,0
2023-11-20,n/a,n/a,n/a
2023-11-21,n/a,n/a,n/a
2023-11-22,65,46,1.61
2023-11-23,63,41,0.05
2023-11-24,59,37,0
2023-11-25,54,37,0
2023-11-26,49,33,0
2023-11-27,50,37,0.08
2023-11-28,54,28,0
2023-11-29,n/a,n/a,n/a
2023-11-30,n/a,n/a,n/a
2023-12-01,61,28,0
2023-12-02,61,36,0.02
2023-12-03,66,56,0.08
2023-12-04,69,41,0
2023-12-05,63,33,0
2023-12-06,63,33,0.1
2023-12-07,51,28,0
2023-12-08,54,29,0
2023-12-09,61,31,0
2023-12-10,68,41,0
2023-12-11,65,37,2.17
2023-12-12,47,25,0
2023-12-13,51,25,0
2023-12-14,58,27,0
2023-12-15,51,25,0
2023-12-16,60,25,0
2023-12-17,59,27,0.01
2023-12-18,53,44,3.02
2023-12-19,57,30,0
2023-12-20,43,24,0
2023-12-21,48,24,0
2023-12-22,60,25,0
2023-12-23,57,30,0
2023-12-24,59,34,0
2023-12-25,67,34,0
2023-12-26,63,37,0.05
2023-12-27,60,50,2
2023-12-28,61,50,0.28
2023-12-29,57,33,0
2023-12-30,55,30,0
2023-12-31,50,28,0
