annualGrammy,category,awardType,awardFor,name
18,Best Inspirational Performance,Individual,"Jesus, We Just Want To Thank You","Jesus, We Just Want To Thank You"
18,Best Gospel Performance (Other Than Soul Gospel),Individual,No Shortage,No Shortage
18,Best Ethnic Or Traditional Recording,Individual,The Muddy Waters Woodstock Album,The Muddy Waters Woodstock Album
18,Best Latin Recording,Individual,Sun Of Latin Music,Sun Of Latin Music
18,Best Recording For Children,Individual,The Little Prince,The Little Prince
18,Best Comedy Recording,Individual,Is It Something I Said?,Is It Something I Said?
18,Best Spoken Word Recording,Individual,Give 'Em Hell Harry,Give 'Em Hell Harry
18,Best Instrumental Composition,Individual,Images,Images
18,Album Of Best Original Score Written For A Motion Picture Or A Television Special,Work,Jaws,John Williams
18,Best Cast Show Album,Individual,The Wiz,The Wiz
18,"Album Of The Year, Classical",Work,Beethoven: Symphonies (9) Complete,Georg Solti
18,Best Classical Performance - Orchestra,Work,Ravel: Daphnis Et Chloe (Complete Ballet),Pierre Boulez
18,Best Opera Recording,Individual,Mozart: Cosi Fan Tutte,Mozart: Cosi Fan Tutte
18,"Best Choral Performance, Classical (Other Than Opera)",Individual,Orff: Carmina Burana,Orff: Carmina Burana
18,Best Chamber Music Performance,Individual,"Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)","Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)"
18,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Individual,Ravel: Concerto For Left Hand And Concerto For Piano In G/Faure: Fantaisie For Piano And Orchestra,Ravel: Concerto For Left Hand And Concerto For Piano In G/Faure: Fantaisie For Piano And Orchestra
18,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Individual,Bach: Sonatas And Partitas For Violin Unaccompanied,Bach: Sonatas And Partitas For Violin Unaccompanied
18,Best Classical Vocal Soloist Performance,Individual,Mahler: Kindertotenlieder,Mahler: Kindertotenlieder
18,"Best Engineered Recording, Classical",Individual,Ravel: Daphnis Et Chloe (Complete Ballet),Ravel: Daphnis Et Chloe (Complete Ballet)
19,Record Of The Year,Individual,This Masquerade,This Masquerade
19,Album Of The Year,Work,Songs In The Key Of Life,Stevie Wonder
19,Song Of The Year,Individual,I Write The Songs,I Write The Songs
19,Best New Artist Of The Year,Individual,Starland Vocal Band,Starland Vocal Band
19,Best Instrumental Arrangement,Work,Leprechaun's Dream,Chick Corea
19,Best Arrangement Accompanying Vocalist(s),Individual,If You Leave Me Now,If You Leave Me Now
19,"Best Arrangement For Voices (Duo, Group Or Chorus)",Individual,Afternoon Delight,Afternoon Delight
19,Best Engineered Recording - Non-Classical,Individual,Breezin',Breezin'
19,Best Album Package,Individual,Chicago X,Chicago X
19,Best Album Notes,Individual,The Changing Face Of Harlem - The Savoy Sessions,The Changing Face Of Harlem - The Savoy Sessions
19,Best Producer Of The Year,Work,Stevie Wonder,Stevie Wonder
19,Best Jazz Vocal Performance,Work,Fitzgerald And Pass...Again,Ella Fitzgerald
19,Best Jazz Performance By A Soloist (Instrumental),Individual,Basie And Zoot,Basie And Zoot
19,Best Jazz Performance By A Group,Work,The Leprechaun,Chick Corea
19,Best Jazz Performance By A Big Band,Work,The Ellington Suites,Duke Ellington
19,"Best Pop Vocal Performance, Female",Individual,Hasten Down The Wind,Hasten Down The Wind
19,"Best Pop Vocal Performance, Male",Work,Songs In The Key Of Life,Stevie Wonder
19,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Individual,If You Leave Me Now,If You Leave Me Now
19,Best Pop Instrumental Performance,Individual,Breezin',Breezin'
19,"Best R&B Vocal Performance, Female",Individual,Sophisticated Lady (She's A Different Lady),Sophisticated Lady (She's A Different Lady)
19,"Best R&B Vocal Performance, Male",Work,I Wish,Stevie Wonder
19,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Individual,You Don't Have To Be A Star (To Be In My Show),You Don't Have To Be A Star (To Be In My Show)
19,Best R&B Instrumental Performance,Individual,Theme From Good King Bad,Theme From Good King Bad
19,Best Rhythm & Blues Song,Individual,Lowdown,Lowdown
19,Best Soul Gospel Performance,Individual,How I Got Over,How I Got Over
19,"Best Country Vocal Performance, Female",Work,Elite Hotel,Emmylou Harris
19,"Best Country Vocal Performance, Male",Individual,(I'm A) Stand By My Woman Man,(I'm A) Stand By My Woman Man
19,Best Country Vocal Performance By A Duo Or Group,Individual,The End Is Not In Sight (The Cowboy Tune),The End Is Not In Sight (The Cowboy Tune)
19,Best Country Instrumental Performance,Individual,Chester And Lester,Chester And Lester
19,Best Country Song,Individual,Broken Lady,Broken Lady
19,Best Inspirational Performance,Individual,"The Astonishing, Outrageous, Amazing, Incredible, Unbelievable, Different World of Gary S. Paxton","The Astonishing, Outrageous, Amazing, Incredible, Unbelievable, Different World of Gary S. Paxton"
19,Best Gospel Performance (Other Than Soul Gospel),Individual,Where The Soul Never Dies,Where The Soul Never Dies
19,Best Ethnic Or Traditional Recording,Individual,Mark Twang,Mark Twang
19,Best Latin Recording,Individual,Unfinished Masterpiece,Unfinished Masterpiece
19,Best Recording For Children,Individual,Prokofiev: Peter And The Wolf/Saint-Saens: Carnival Of The Animals,Prokofiev: Peter And The Wolf/Saint-Saens: Carnival Of The Animals
19,Best Comedy Recording,Individual,Bicentennial Nigger,Bicentennial Nigger
19,Best Spoken Word Recording,Individual,Great American Documents,Great American Documents
19,Best Instrumental Composition,Individual,Bellavia,Bellavia
19,Album Of Best Original Score Written For A Motion Picture Or Television Special,Individual,Car Wash,Car Wash
19,Best Cast Show Album,Individual,Bubbling Brown Sugar,Bubbling Brown Sugar
19,Classical Album Of The Year,Individual,Beethoven: The Five Piano Concertos,Beethoven: The Five Piano Concertos
19,Best Classical Orchestral Performance,Work,Strauss: Also Sprach Zarathustra,Georg Solti
19,Best Opera Recording,Individual,Gershwin: Porgy And Bess,Gershwin: Porgy And Bess
19,Best Choral Performance (Other Than Opera),Work,Rachmaninoff: The Bells,André Previn
19,Best Chamber Music Performance,Individual,The Art Of Courtly Love,The Art Of Courtly Love
19,"Best Classical Performance, Instrumental Soloist Or Soloists (With Orchestra)",Individual,Beethoven: The Five Piano Concertos,Beethoven: The Five Piano Concertos
19,"Best Classical Performance, Instrumental Soloist Or Soloists (Without Orchestra)",Work,Horowitz Concerts 1975/76,Vladimir Horowitz
19,Best Classical Vocal Soloist Performance,Individual,Herbert: Music Of Victor Herbert,Herbert: Music Of Victor Herbert
19,"Best Engineered Recording, Classical",Individual,Gershwin: Rhapsody In Blue,Gershwin: Rhapsody In Blue
20,Record Of The Year,Work,Hotel California,Eagles
20,Album Of The Year,Individual,Rumours,Rumours
20,Song Of The Year,Work,Love Theme From A Star Is Born (Evergreen),Barbra Streisand
20,Best New Artist Of The Year,Individual,Debby Boone,Debby Boone
20,Best Instrumental Arrangement,Individual,Nadia's Theme (The Young And The Restless),Nadia's Theme (The Young And The Restless)
20,Best Arrangement Accompanying Vocalist(s),Individual,Love Theme From A Star Is Born (Evergreen),Love Theme From A Star Is Born (Evergreen)
20,Best Arrangement For Voices,Work,New Kid In Town,Eagles
20,Best Engineered Recording - Non-Classical,Individual,Aja,Aja
20,Best Album Package,Individual,Simple Dreams,Simple Dreams
20,Best Album Notes,Individual,Bing Crosby - A Legendary Performer,Bing Crosby - A Legendary Performer
20,Producer Of The Year,Individual,Peter Asher,Peter Asher
20,Best Jazz Vocal Performance,Individual,Look To The Rainbow,Look To The Rainbow
20,Best Jazz Performance By A Soloist,Individual,The Giants,The Giants
20,Best Jazz Performance By A Group,Individual,The Phil Woods Six - Live From The Showboat,The Phil Woods Six - Live From The Showboat
20,Best Jazz Performance By A Big Band,Individual,Prime Time,Prime Time
20,"Best Pop Vocal Performance, Female",Work,Love Theme From A Star Is Born (Evergreen),Barbra Streisand
20,"Best Pop Vocal Performance, Male",Work,Handy Man,James Taylor
20,Best Pop Vocal Performance By A Group,Individual,How Deep Is Your Love,How Deep Is Your Love
20,Best Pop Instrumental Recording,Work,Star Wars,John Williams
20,"Best R&B Vocal Performance, Female",Individual,Don't Leave Me This Way,Don't Leave Me This Way
20,"Best R&B Vocal Performance, Male",Individual,Unmistakably Lou,Unmistakably Lou
20,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Individual,Best Of My Love,Best Of My Love
20,Best R&B Instrumental Performance,Individual,Q,Q
20,Best Rhythm & Blues Song,Individual,You Make Me Feel Like Dancing,You Make Me Feel Like Dancing
20,"Best Gospel Performance, Contemporary Or Insprirational",Individual,Sail On,Sail On
20,"Best Gospel Performance, Traditional",Individual,Just A Little Talk With Jesus,Just A Little Talk With Jesus
20,"Best Soul Gospel Performance, Contemporary",Individual,Wonderful!,Wonderful!
20,"Best Soul Gospel Performance, Traditional",Individual,James Cleveland Live At Carnegie Hall,James Cleveland Live At Carnegie Hall
20,Best Inspirational Performance,Individual,Home Where I Belong,Home Where I Belong
20,"Best Country Vocal Performance, Female",Individual,Don't It Make My Brown Eyes Blue,Don't It Make My Brown Eyes Blue
20,"Best Country Vocal Performance, Male",Individual,Lucille,Lucille
20,Best Country Vocal Performance By A Duo Or Group,Individual,Heaven's Just A Sin Away,Heaven's Just A Sin Away
20,Best Country Instrumental Performance,Individual,Country Instrumentalist Of The Year,Country Instrumentalist Of The Year
20,Best Country Song,Individual,Don't It Make My Brown Eyes Blue,Don't It Make My Brown Eyes Blue
20,Best Ethnic Or Traditional Recording,Individual,Hard Again,Hard Again
20,Best Latin Recording,Individual,Dawn,Dawn
20,Best Recording For Children,Individual,Aren't You Glad You're You,Aren't You Glad You're You
20,Best Comedy Recording,Work,Let's Get Small,Steve Martin
20,Best Spoken Word Recording,Individual,The Belle Of Amherst,The Belle Of Amherst
20,Best Instrumental Composition,Work,Star Wars - Main Title,John Williams
20,Best Original Score Written For A Motion Picture Or A Television Special,Work,Star Wars,John Williams
20,Best Cast Show Album,Individual,Annie,Annie
20,Best Classical Album,Work,Concert Of The Century,Vladimir Horowitz
20,Best Classical Orchestral Performance,Individual,Mahler: Symphony No. 9 In D,Mahler: Symphony No. 9 In D
20,Best Opera Recording,Individual,Gershwin: Porgy And Bess,Gershwin: Porgy And Bess
20,Best Choral Performance (Other Than Opera),Work,Verdi: Requiem,Georg Solti
20,Best Chamber Music Performance,Individual,Schoenberg: Quartets For Strings (Complete),Schoenberg: Quartets For Strings (Complete)
20,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Individual,Vivaldi: The Four Seasons,Vivaldi: The Four Seasons
20,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Individual,"Beethoven: Piano Sonata No. 18 In E Flat/Schumann: Fantasiestucke, Op. 12","Beethoven: Piano Sonata No. 18 In E Flat/Schumann: Fantasiestucke, Op. 12"
20,Best Classical Vocal Soloist Performance,Individual,Bach: Arias,Bach: Arias
20,"Best Engineered Recording, Classical",Individual,Ravel: Bolero,Ravel: Bolero
21,Record Of The Year,Individual,Just The Way You Are,Just The Way You Are
21,Album Of The Year,Individual,Saturday Night Fever - Soundtrack,Saturday Night Fever - Soundtrack
21,Song Of The Year,Individual,Just The Way You Are,Just The Way You Are
21,Best New Artist,Individual,A Taste Of Honey,A Taste Of Honey
21,"Best Pop Vocal Performance, Female",Individual,You Needed Me,You Needed Me
21,"Best Pop Vocal Performance, Male",Individual,Copacabana (At The Copa),Copacabana (At The Copa)
21,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Individual,Saturday Night Fever,Saturday Night Fever
21,Best Pop Instrumental Performance,Individual,Children Of Sanchez,Children Of Sanchez
21,"Best R&B Vocal Performance, Female",Individual,Last Dance,Last Dance
21,"Best R&B Vocal Performance, Male",Individual,On Broadway,On Broadway
21,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Individual,All 'n All,All 'n All
21,Best R&B Instrumental Performance,Individual,Runnin',Runnin'
21,Best Rhythm & Blues Song,Individual,Last Dance,Last Dance
21,"Best Country Vocal Performance, Female",Individual,Here You Come Again,Here You Come Again
21,"Best Country Vocal Performance, Male",Work,Georgia On My Mind,Willie Nelson
21,Best Country Vocal Performance By A Duo Or Group,Work,Mamas Don't Let Your Babies Grow Up To Be Cowboys,Willie Nelson
21,Best Country Instrumental Performance,Individual,One O'Clock Jump,One O'Clock Jump
21,Best Country Song,Individual,The Gambler,The Gambler
21,"Best Gospel Performance, Contemporary Or Inspirational",Individual,What A Friend,What A Friend
21,"Best Gospel Performance, Traditional",Individual,Refreshing,Refreshing
21,"Best Soul Gospel Performance, Contemporary",Individual,Live In London,Live In London
21,"Best Soul Gospel Performance, Traditional",Individual,Live And Direct,Live And Direct
21,Best Inspirational Performance,Individual,Happy Man,Happy Man
21,Best Ethnic Or Traditional Recording,Individual,I'm Ready,I'm Ready
21,Best Latin Recording,Individual,Homenaje a Beny More,Homenaje a Beny More
21,Best Recording For Children,Individual,The Muppet Show,The Muppet Show
21,Best Comedy Recording,Work,A Wild And Crazy Guy,Steve Martin
21,Best Spoken Word Recording,Individual,Citizen Kane,Citizen Kane
21,Best Instrumental Composition,Work,Theme From Close Encounters Of The Third Kind,John Williams
21,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Work,Close Encounters Of The Third Kind,John Williams
21,Best Cast Show Album,Individual,Ain't Misbehavin',Ain't Misbehavin'
21,Best Jazz Vocal Performance,Individual,All Fly Home,All Fly Home
21,"Best Jazz Instrumental Performance, Soloist",Individual,Montreaux '77 - Oscar Peterson Jam,Montreaux '77 - Oscar Peterson Jam
21,"Best Jazz Instrumental Performance, Group",Work,Friends,Chick Corea
21,"Best Jazz Instrumental Performance, Big Band",Individual,Live In Munich,Live In Munich
21,Best Instrumental Arrangement,Individual,The Wiz Main Title - Overture Part One,The Wiz Main Title - Overture Part One
21,Best Arrangement Accompanying Vocal(s),Individual,Got To Get You Into My Life,Got To Get You Into My Life
21,Best Arrangement For Voices,Individual,Stayin' Alive,Stayin' Alive
21,Best Album Package,Individual,Boys In The Trees,Boys In The Trees
21,Best Album Notes,Individual,"A Bing Crosby Collection, Vols. I & II","A Bing Crosby Collection, Vols. I & II"
21,Best Historical Repackage Album,Individual,"The Lester Young Story, Vol. 3","The Lester Young Story, Vol. 3"
21,Best Engineered Recording - Non-Classical,Individual,FM (No Static At All),FM (No Static At All)
21,Producer Of The Year,Individual,"Bee Gees, Albhy Galuten & Karl Richardson","Bee Gees, Albhy Galuten & Karl Richardson"
21,Best Classical Album,Individual,Brahms: Concerto For Violin In D,Brahms: Concerto For Violin In D
21,Best Classical Orchestral Performance,Individual,Beethoven: Symphonies (9) (Complete),Beethoven: Symphonies (9) (Complete)
21,Best Opera Recording,Individual,Lehar: The Merry Widow,Lehar: The Merry Widow
21,"Best Choral Performance, Classical (Other Than Opera)",Work,Beethoven: Missa Solemnis,Georg Solti
21,Best Chamber Music Performance,Individual,Beethoven: Sonatas For Violin And Piano,Beethoven: Sonatas For Violin And Piano
21,"Best Classical Performance, Instrumental Soloist(s) (With Orchestra)",Work,Rachmaninoff: Con. No. 3 In D Minor For Piano (Horowitz Golden Jubilee),Vladimir Horowitz
21,"Best Classical Performance, Instrumental Soloist(s) (Without Orchestra)",Work,The Horowitz Concerts 1977/78,Vladimir Horowitz
21,Best Classical Vocal Soloist Performance,Individual,Luciano Pavarotti - Hits From Lincoln Center,Luciano Pavarotti - Hits From Lincoln Center
21,"Best Engineered Recording, Classical",Individual,Varese: Ameriques/Arcana/Ionisation (Boulez Conducts Varese),Varese: Ameriques/Arcana/Ionisation (Boulez Conducts Varese)
22,Record Of The Year,Individual,What A Fool Believes,What A Fool Believes
22,Album Of The Year,Individual,52nd Street,52nd Street
22,Song Of The Year,Individual,What A Fool Believes,What A Fool Believes
22,Best New Artist,Individual,Rickie Lee Jones,Rickie Lee Jones
22,"Best Pop Vocal Performance, Female",Individual,I'll Never Love This Way Again,I'll Never Love This Way Again
22,"Best Pop Vocal Performance, Male",Individual,52nd Street,52nd Street
22,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Individual,Minute By Minute,Minute By Minute
22,Best Pop Instrumental Performance,Individual,Rise,Rise
22,"Best Rock Vocal Performance, Female",Individual,Hot Stuff,Hot Stuff
22,"Best Rock Vocal Performance, Male",Work,Gotta Serve Somebody,Bob Dylan
22,Best Rock Vocal Performance By A Duo Or Group,Work,Heartache Tonight,Eagles
22,Best Rock Instrumental Performance,Work,Rockestra Theme,Paul McCartney
22,"Best R&B Vocal Performance, Female",Individual,Deja Vu,Deja Vu
22,"Best R&B Vocal Performance, Male",Work,Don't Stop 'til You Get Enough,Michael Jackson
22,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Individual,After The Love Has Gone,After The Love Has Gone
22,Best R&B Instrumental Performance,Individual,Boogie Wonderland,Boogie Wonderland
22,Best Rhythm & Blues Song,Individual,After The Love Has Gone,After The Love Has Gone
22,Best Disco Recording,Individual,I Will Survive,I Will Survive
22,"Best Country Vocal Performance, Female",Work,Blue Kentucky Girl,Emmylou Harris
22,"Best Country Vocal Performance, Male",Individual,The Gambler,The Gambler
22,Best Country Vocal Performance By A Duo Or Group,Individual,The Devil Went Down To Georgia,The Devil Went Down To Georgia
22,Best Country Instrumental Performance,Individual,Big Sandy/Leather Britches,Big Sandy/Leather Britches
22,Best Country Song,Individual,You Decorated My Life,You Decorated My Life
22,"Best Gospel Performance, Contemporary Or Inspirational",Individual,Heed The Call,Heed The Call
22,"Best Gospel Performance, Traditional",Individual,Lift Up The Name Of Jesus,Lift Up The Name Of Jesus
22,"Best Soul Gospel Performance, Contemporary",Individual,I'll Be Thinking Of You,I'll Be Thinking Of You
22,"Best Soul Gospel Performance, Traditional",Individual,Changing Times,Changing Times
22,Best Inspirational Performance,Individual,You Gave Me Love (When Nobody Gave Me A Prayer),You Gave Me Love (When Nobody Gave Me A Prayer)
22,Best Ethnic Or Traditional Recording,Individual,"Muddy ""Mississippi"" Waters Live","Muddy ""Mississippi"" Waters Live"
22,Best Latin Recording,Individual,Irakere,Irakere
22,Best Recording For Children,Individual,The Muppet Movie,The Muppet Movie
22,Best Comedy Recording,Individual,Reality...What A Concept,Reality...What A Concept
22,"Best Spoken Word, Documentary Or Drama Recording",Individual,Ages Of Man - Readings From Shakespeare,Ages Of Man - Readings From Shakespeare
22,Best Instrumental Composition,Work,Superman Main Title Theme,John Williams
22,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Work,Superman,John Williams
22,Best Cast Show Album,Individual,Sweeney Todd,Sweeney Todd
22,"Best Jazz Fusion Performance, Vocal Or Instrumental",Individual,8:30,8:30
22,Best Jazz Vocal Performance,Work,Fine And Mellow,Ella Fitzgerald
22,"Best Jazz Instrumental Performance, Soloist",Individual,Jousts,Jousts
22,"Best Jazz Instrumental Performance, Group",Work,Duet,Chick Corea
22,"Best Jazz Instrumental Performance, Big Band",Work,"Duke Ellington At Fargo, 1940 Live",Duke Ellington
22,Best Instrumental Arrangement,Individual,Soulful Strut,Soulful Strut
22,Best Arrangement Accompanying Vocals,Individual,What A Fool Believes,What A Fool Believes
22,Best Album Package,Individual,Breakfast In America,Breakfast In America
22,Best Album Notes,Individual,Charlie Parker - The Complete Savoy Sessions,Charlie Parker - The Complete Savoy Sessions
22,Best Historical Reissue,Individual,Billie Holiday - Giants Of Jazz,Billie Holiday - Giants Of Jazz
22,Best Engineered Recording - Non-Classical,Individual,Breakfast In America,Breakfast In America
22,Producer Of The Year,Individual,Larry Butler,Larry Butler
22,Best Classical Album,Work,Brahms: Symphonies (1-4),Georg Solti
22,Best Classical Orchestral Recording,Work,Brahms: Symphonies (1-4),Georg Solti
22,Best Opera Recording,Individual,Britten: Peter Grimes,Britten: Peter Grimes
22,"Best Choral Performance, Classical (Other Than Opera)",Work,Brahms: A German Requiem,Georg Solti
22,Best Chamber Music Performance,Individual,Copland: Appalachian Spring,Copland: Appalachian Spring
22,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Individual,Bartók: Piano Cons. Nos. 1 & 2,Bartók: Piano Cons. Nos. 1 & 2
22,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Work,The Horowitz Concerts 1978/79,Vladimir Horowitz
22,Best Classical Vocal Soloist Performance,Individual,O Sole Mio - Favorite Neapolitan Songs,O Sole Mio - Favorite Neapolitan Songs
22,"Best Engineered Recording, Classical",Individual,Sondheim: Sweeney Todd,Sondheim: Sweeney Todd
22,Classical Producer Of The Year,Individual,James Mallinson,James Mallinson
23,Record Of The Year,Individual,Sailing,Sailing
23,Album Of The Year,Individual,Christopher Cross,Christopher Cross
23,Song Of The Year,Individual,Sailing,Sailing
23,Best New Artist,Individual,Christopher Cross,Christopher Cross
23,"Best Pop Vocal Performance, Female",Individual,The Rose,The Rose
23,"Best Pop Vocal Performance, Male",Individual,This Is It,This Is It
23,Best Pop Performance By A Duo Or Group With Vocal,Work,Guilty,Barbra Streisand
23,Best Pop Instrumental Performance,Individual,One On One,One On One
23,"Best Rock Vocal Performance, Female",Individual,Crimes Of Passion,Crimes Of Passion
23,"Best Rock Vocal Performance, Male",Individual,Glass Houses,Glass Houses
23,Best Rock Performance By A Duo Or Group With Vocal,Individual,Against The Wind,Against The Wind
23,Best Rock Instrumental Performance,Individual,Reggatta De Blanc,Reggatta De Blanc
23,"Best R&B Vocal Performance, Female",Individual,Never Knew Love Like This Before,Never Knew Love Like This Before
23,"Best R&B Vocal Performance, Male",Individual,Give Me The Night,Give Me The Night
23,Best R&B Performance By A Duo Or Group With Vocal,Individual,Shining Star,Shining Star
23,Best R&B Instrumental Performance,Individual,Off Broadway,Off Broadway
23,Best Rhythm & Blues Song,Individual,Never Knew Love Like This Before,Never Knew Love Like This Before
23,"Best Jazz Fusion Performance, Vocal Or Istrumental",Individual,Birdland,Birdland
23,"Best Country Vocal Performance, Female",Individual,Could I Have This Dance?,Could I Have This Dance?
23,"Best Country Vocal Performance, Male",Individual,He Stopped Loving Her Today,He Stopped Loving Her Today
23,Best Country Performance Duo Or Group,Work,That Lovin' You Feelin' Again,Emmylou Harris
23,Best Country Instrumental Performance,Individual,Orange Blossom Special/Hoedown,Orange Blossom Special/Hoedown
23,Best Country Song,Work,On The Road Again,Willie Nelson
23,"Best Gospel Performance, Contemporary Or Inspirational",Individual,The Lord's Prayer,The Lord's Prayer
23,"Best Gospel Performance, Traditional",Individual,We Come To Worship,We Come To Worship
23,"Best Soul Gospel Performance, Contemporary",Work,Rejoice,Shirley Caesar
23,"Best Soul Gospel Performance, Traditional",Individual,"Lord, Let Me Be An Instrument","Lord, Let Me Be An Instrument"
23,Best Inspirational Performance,Individual,With My Song I Will Praise Him,With My Song I Will Praise Him
23,Best Ethnic Or Traditional Recording,Individual,Rare Blues,Rare Blues
23,Best Latin Recording,Individual,La Onda Va Bien,La Onda Va Bien
23,Best Recording For Children,Individual,In Harmony/A Sesame Street Record,In Harmony/A Sesame Street Record
23,Best Comedy Recording,Individual,No Respect,No Respect
23,"Best Spoken Word, Documentary Or Drama",Individual,"Gertrude Stein, Gertrude Stein, Gertrude Stein","Gertrude Stein, Gertrude Stein, Gertrude Stein"
23,Best Instrumental Composition,Work,The Empire Strikes Back,John Williams
23,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Work,The Empire Strikes Back,John Williams
23,Best Cast Show Album,Individual,Evita - Premier American Recording,Evita - Premier American Recording
23,"Best Jazz Vocal Performance, Female",Work,A Perfect Match - Ella And Basie,Ella Fitzgerald
23,"Best Jazz Vocal Performance, Male",Individual,Moody's Mood,Moody's Mood
23,"Best Jazz Instrumental Performance, Soloist",Individual,I Will Say Goodbye,I Will Say Goodbye
23,"Best Jazz Instrumental Performance, Group",Individual,We Will Meet Again,We Will Meet Again
23,"Best Jazz Instrumental Performance, Big Band",Individual,On The Road,On The Road
23,Best Instrumental Arrangement,Individual,"Dinorah, Dinorah","Dinorah, Dinorah"
23,Best Arrangement Accompanying Vocalist(s),Individual,Sailing,Sailing
23,Best Arrangement For Voices,Individual,Birdland,Birdland
23,Best Album Package,Individual,Against The Wind,Against The Wind
23,Best Album Notes,Individual,"Trilogy: Past, Present And Future","Trilogy: Past, Present And Future"
23,Best Historical Reissue Album,Individual,Segovia - The EMI Recordings 1927-39,Segovia - The EMI Recordings 1927-39
23,Best Engineered Recording - Non-Classical,Individual,The Wall,The Wall
23,Producer Of The Year (Non-Classical),Individual,Phil Ramone,Phil Ramone
23,Best Classical Album,Work,Berg: Lulu (Complete Version),Pierre Boulez
23,Best Classical Orchestral Recording,Work,Bruckner: Symphony No. 6 In A,Georg Solti
23,Best Opera Recording,Work,Berg: Lulu (Complete Version),Pierre Boulez
23,"Best Choral Performance, Classical (Other Than Opera)",Individual,Mozart: Requiem,Mozart: Requiem
23,Best Chamber Music Performance,Individual,Play Music For Two Violins (Moszkowski: Suite For Two Violins/Shostakovich: Duets/Prokofiev: Sonata For Two Violins),Play Music For Two Violins (Moszkowski: Suite For Two Violins/Shostakovich: Duets/Prokofiev: Sonata For Two Violins)
23,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Individual,Berg: Violin Concerto/Stravinsky: Violin Concerto In D,Berg: Violin Concerto/Stravinsky: Violin Concerto In D
23,Best Classical Performance - Instrumental Soloist OR Soloists (With Orchestra),Individual,Brahms: Violin And Cello Concerto In A Minor (Double Concerto),Brahms: Violin And Cello Concerto In A Minor (Double Concerto)
23,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Individual,The Spanish Album,The Spanish Album
23,Best Classical Vocal Soloist Performance,Individual,"Prima Donna, Vol. 5 - Great Soprano Arias From Handel To Britten","Prima Donna, Vol. 5 - Great Soprano Arias From Handel To Britten"
23,"Best Engineered Recording, Classical",Individual,Berg: Lulu (Complete Version),Berg: Lulu (Complete Version)
23,Classical Producer Of The Year,Work,Robert Woods,Robert Woods
24,Record Of The Year,Individual,Bette Davis Eyes,Bette Davis Eyes
24,Album Of The Year,Work,Double Fantasy,John Lennon
24,Song Of The Year,Individual,Bette Davis Eyes,Bette Davis Eyes
24,Best New Artist,Individual,Sheena Easton,Sheena Easton
24,"Best Pop Vocal Performance, Female",Individual,"Lena Horne - The Lady And Her Music, Live On Broadway","Lena Horne - The Lady And Her Music, Live On Broadway"
24,"Best Pop Vocal Performance, Male",Individual,Breakin' Away,Breakin' Away
24,Best Pop Vocal Performance By A Duo Or Group With Vocal,Individual,Boy From New York City,Boy From New York City
24,Best Pop Instrumental Performance,Individual,The Theme From Hill Street Blues,The Theme From Hill Street Blues
24,"Best Rock Vocal Performance, Female",Individual,Fire And Ice,Fire And Ice
24,"Best Rock Vocal Performance, Male",Individual,Jessie's Girl,Jessie's Girl
24,Best Rock Performance By A Duo Or Group With Vocal,Individual,Don't Stand So Close To Me,Don't Stand So Close To Me
24,Best Rock Instrumental Performance,Individual,Behind My Camel,Behind My Camel
24,"Best R&B Vocal Performance, Female",Work,Hold On I'm Comin',Aretha Franklin
24,"Best R&B Vocal Performance, Male",Individual,One Hundred Ways,One Hundred Ways
24,Best R&B Performance By A Duo Or Group With Vocal,Work,The Dude,Quincy Jones
24,Best R&B Instrumental Performance,Individual,All I Need Is You,All I Need Is You
24,Best Rhythm & Blues Song,Individual,Just The Two Of Us,Just The Two Of Us
24,"Best Jazz Fusion Performance, Vocal Or Instrumental",Individual,Winelight,Winelight
24,"Best Country Vocal Performance, Female",Individual,9 To 5,9 To 5
24,"Best Country Vocal Performance, Male",Individual,(There's) No Gettin' Over Me,(There's) No Gettin' Over Me
24,Best Country Performance By A Duo Or Group With Vocal,Individual,Elvira,Elvira
24,Best Country Instrumental Performance,Individual,Country After All These Years,Country After All These Years
24,Best Country Song,Individual,9 To 5,9 To 5
24,Best Gospel Performance Contemporary Or Inspirational,Individual,Priority,Priority
