objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid,from_lat_lon,to_lat_lon,drive_time,commute_dist
555941,555941,1111,1369,0.12028448,13368.297,8.3066721,MARTIN,111,HOBE SOUND ELEMENTARY SCHOOL,27.063583,-80.128387,PALM BEACH,2031,LIMESTONE CREEK ELEM. SCHOOL,26.943609,-80.137016,1400,950,46,39,304,27.063583+-80.128387,26.943609+-80.137016,23.75,12.954967986956175
718194,718194,1362,1111,0.13474375,14975.286,9.3052082,PALM BEACH,71,JUPITER ELEMENTARY SCHOOL,26.931702,-80.100777,MARTIN,111,HOBE SOUND ELEMENTARY SCHOOL,27.063583,-80.128387,949,1347,39,46,304,26.931702+-80.100777,27.063583+-80.128387,20.15,10.70933249821045
555943,555943,1111,1362,0.13474375,14975.286,9.3052082,MARTIN,111,HOBE SOUND ELEMENTARY SCHOOL,27.063583,-80.128387,PALM BEACH,71,JUPITER ELEMENTARY SCHOOL,26.931702,-80.100777,1393,950,46,39,304,27.063583+-80.128387,26.931702+-80.100777,18.366666666666667,10.496202179273045
717616,717616,1361,1111,0.13587393,15100.894,9.3832569,PALM BEACH,1651,JERRY THOMAS ELEMENTARY SCHOOL,26.927752,-80.125053,MARTIN,111,HOBE SOUND ELEMENTARY SCHOOL,27.063583,-80.128387,949,1396,39,46,304,26.927752+-80.125053,27.063583+-80.128387,23.883333333333333,12.491425077547124
555944,555944,1111,1361,0.13587393,15100.894,9.3832569,MARTIN,111,HOBE SOUND ELEMENTARY SCHOOL,27.063583,-80.128387,PALM BEACH,1651,JERRY THOMAS ELEMENTARY SCHOOL,26.927752,-80.125053,1392,950,46,39,304,27.063583+-80.128387,26.927752+-80.125053,23.5,12.498881531853973
920437,920437,1664,1113,0.049359906,5485.8105,3.4087236,ST. LUCIE,341,MARIPOSA ELEMENTARY SCHOOL,27.269684,-80.269371,MARTIN,211,JENSEN BEACH ELEMENTARY SCHOOL,27.235006,-80.234245,951,1790,39,55,305,27.269684+-80.269371,27.235006+-80.234245,13.9,6.895356120257695
557007,557007,1113,1664,0.049359906,5485.8105,3.4087236,MARTIN,211,JENSEN BEACH ELEMENTARY SCHOOL,27.235006,-80.234245,ST. LUCIE,341,MARIPOSA ELEMENTARY SCHOOL,27.269684,-80.269371,1782,952,55,39,305,27.235006+-80.234245,27.269684+-80.269371,13.516666666666667,6.077010260081126
555373,555373,1110,1669,0.049718007,5525.6094,3.4334536,MARTIN,341,FELIX A WILLIAMS ELEM SCHOOL,27.225468,-80.259262,ST. LUCIE,91,SAVANNA RIDGE ELEMENTARY SCHL,27.268064,-80.284904,1787,956,55,39,305,27.225468+-80.259262,27.268064+-80.284904,9.6,4.1880418356796305
555377,555377,1110,1665,0.059524734,6615.5195,4.110692,MARTIN,341,FELIX A WILLIAMS ELEM SCHOOL,27.225468,-80.259262,ST. LUCIE,221,MORNINGSIDE ELEMENTARY SCHOOL,27.272968,-80.295135,1783,956,55,39,305,27.225468+-80.259262,27.272968+-80.295135,10.5,4.726149288157162
557002,557002,1113,1669,0.060490198,6722.8203,4.1773658,MARTIN,211,JENSEN BEACH ELEMENTARY SCHOOL,27.235006,-80.234245,ST. LUCIE,91,SAVANNA RIDGE ELEMENTARY SCHL,27.268064,-80.284904,1787,952,55,39,305,27.235006+-80.234245,27.268064+-80.284904,11.516666666666667,5.000173983933826
741775,741775,1404,460,0.003685375,409.5889,0.25450665,PALM BEACH,4091,SOMERSET ACADEMY LAKES,25.703695,-80.297066,MIAMI-DADE,3061,LUDLAM ELEMENTARY SCHOOL,25.702864,-80.300659,1061,1452,40,46,306,25.703695+-80.297066,25.702864+-80.300659,1.9666666666666666,0.37095860176568834
221594,221594,460,1404,0.003685375,409.5889,0.25450665,MIAMI-DADE,3061,LUDLAM ELEMENTARY SCHOOL,25.702864,-80.300659,PALM BEACH,4091,SOMERSET ACADEMY LAKES,25.703695,-80.297066,1435,1065,46,40,306,25.702864+-80.300659,25.703695+-80.297066,1.3333333333333333,0.357288435536467
257006,257006,529,1404,0.0087485993,972.31055,0.60416555,MIAMI-DADE,2007,SOMERSET ACADEMY ELEM SCHOOL (S MIAMI CAMPUS),25.707754,-80.289314,PALM BEACH,4091,SOMERSET ACADEMY LAKES,25.703695,-80.297066,1435,1021,46,40,306,25.707754+-80.289314,25.703695+-80.297066,3.283333333333333,0.7531018849916488
741725,741725,1404,529,0.0087485993,972.31055,0.60416555,PALM BEACH,4091,SOMERSET ACADEMY LAKES,25.703695,-80.297066,MIAMI-DADE,2007,SOMERSET ACADEMY ELEM SCHOOL (S MIAMI CAMPUS),25.707754,-80.289314,1130,1452,40,46,306,25.703695+-80.297066,25.707754+-80.289314,4.466666666666667,0.7499950290304621
741720,741720,1404,537,0.016621102,1847.2527,1.1478293,PALM BEACH,4091,SOMERSET ACADEMY LAKES,25.703695,-80.297066,MIAMI-DADE,5401,SUNSET ELEMENTARY SCHOOL,25.693827,-80.31044,1138,1452,40,46,306,25.703695+-80.297066,25.693827+-80.31044,6.533333333333333,1.5447287839020123
561988,561988,1126,1630,0.68457013,76082.438,47.275421,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,PUTNAM,121,MELROSE ELEMENTARY SCHOOL,29.709049,-82.04261,1661,1161,50,41,307,30.385906+-81.94014,29.709049+-82.04261,62.3,50.57277996500437
903942,903942,1630,1126,0.68457013,76082.438,47.275421,PUTNAM,121,MELROSE ELEMENTARY SCHOOL,29.709049,-82.04261,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,1157,1659,41,50,307,29.709049+-82.04261,30.385906+-81.94014,69.63333333333334,53.57089596754951
561987,561987,1126,1632,0.76217318,84707.164,52.634579,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,1663,1161,50,41,307,30.385906+-81.94014,29.629139+-82.030746,67.98333333333333,56.103604947108884
