profid,quality,would_take_again,difficulty,accessible,amazing_lectures,pop_quizzes,caring,clear_grading,extra_credit,lots_readings,good_feedback,graded_few_things,group_projects,hilarious,inspirational,lectures_heavy,lots_homework,participation_matters,respected,cant_skip_class,many_papers,test_heavy,tough_grader
261,4.5,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,3.6,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,3.8,NA,2,0,0,0,0,1,0,0,0,0,0,1,0,3,4,0,0,2,0,0,2
264,1.9,NA,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4.5,NA,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,4.9,NA,1.5,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
267,2.4,NA,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,4.9,NA,1.3,0,0,0,6,1,0,0,2,0,0,1,0,0,1,2,3,0,0,0,0
269,1.9,NA,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,3.6,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,3.4,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,1.8,NA,4.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,1
273,4.5,NA,2.3,1,1,0,2,1,0,0,0,0,0,1,0,0,2,1,2,1,0,0,0
274,4.8,NA,3.5,1,1,0,3,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
275,4.8,NA,2.8,0,0,0,3,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
276,4.5,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,4.8,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,4,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5,NA,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
281,1.5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
286,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,2.7,NA,2.9,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
288,4.2,NA,2.3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,2
289,4.7,100,2.4,2,3,0,4,6,1,0,2,0,0,3,1,0,0,0,1,2,0,0,0
290,4.3,81,1.9,2,4,1,10,6,16,0,4,0,1,1,0,0,4,1,7,5,0,1,1
291,3.8,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,4.1,NA,2,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,2
293,2.6,46,3.8,2,1,0,0,3,0,0,3,4,0,0,0,2,3,0,1,2,0,1,7
294,3.3,53,3.1,1,7,0,1,9,0,1,3,1,0,3,0,1,17,1,2,11,0,5,18
295,1.5,NA,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
296,4.8,NA,1.5,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
297,5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,4.6,NA,2.9,0,1,0,1,2,0,0,0,0,0,0,0,1,4,0,0,5,0,0,0
299,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4.7,NA,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,4.4,88,1.8,0,0,0,11,4,21,0,5,0,1,0,2,1,16,25,6,15,1,1,1
302,4.2,79,3,5,2,0,30,8,3,0,34,1,0,2,5,0,3,2,38,8,0,6,24
303,4.3,NA,1.8,0,0,0,4,5,4,0,2,0,0,3,3,0,6,1,8,2,0,0,1
304,4,80,2.6,1,2,1,12,9,10,0,7,1,0,3,2,1,3,2,7,11,0,1,7
305,4.3,83,2.3,2,6,1,10,4,1,0,5,0,0,2,1,1,2,1,3,3,0,3,1
306,3.8,NA,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
307,4.3,75,2.5,0,2,0,0,5,0,0,2,0,0,1,2,2,2,0,3,9,0,1,2
308,5,NA,1.6,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1
309,4,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4.8,100,2,2,6,0,17,7,3,0,8,1,0,7,3,0,0,1,10,1,0,0,0
311,4.7,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,3.2,NA,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
313,5,NA,1.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
314,5,NA,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,3.7,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2.7,NA,4.3,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1
317,2.5,NA,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1.9,NA,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,4.2,NA,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4.1,NA,2.4,0,1,0,0,3,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
321,2.6,NA,1.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
322,2.3,NA,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,2.7,NA,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,1,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
327,5,NA,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
328,3.9,52,2.6,3,4,0,6,10,6,2,8,2,1,8,4,3,20,2,12,21,1,7,26
329,3,19,3.4,0,0,0,2,2,8,1,2,1,0,3,0,5,19,0,0,10,0,4,15
330,4.2,NA,2.5,0,1,0,0,5,5,0,1,0,0,6,0,0,2,0,1,2,0,0,4
331,3.1,50,3.6,1,1,17,1,3,4,1,1,1,0,5,1,5,4,2,1,10,0,0,14
332,3.9,36,2.6,3,1,0,4,2,5,3,3,0,0,1,0,8,3,0,2,4,0,4,9
333,4.2,82,2.8,5,1,0,6,8,7,1,2,2,1,0,2,1,7,2,1,7,0,5,5
334,4.2,82,2.8,5,1,0,6,8,7,1,2,2,1,0,2,1,7,2,1,7,0,5,5
335,3.8,80,2.8,5,5,0,4,10,0,0,8,0,0,1,1,6,10,2,1,14,0,0,16
336,2.1,38,4.4,0,1,0,0,0,4,1,0,1,0,1,2,2,0,1,0,6,1,4,15
337,3.4,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
338,3.4,40,2.5,1,2,0,4,4,6,0,1,1,0,4,0,0,2,0,0,4,0,1,5
339,2,14,4.2,0,0,0,1,0,0,0,0,0,0,1,0,5,4,2,0,15,1,4,9
340,3.8,61,2.6,6,3,0,4,11,4,2,5,0,0,1,2,2,10,2,4,4,2,3,7
341,3.5,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1.8,NA,4.5,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,6,1,2,13
343,3.8,83,2.4,0,2,0,7,2,2,0,2,1,0,2,3,0,1,1,1,0,0,0,0
344,3.8,NA,2.5,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,5,0,0,1
345,4,NA,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,4.5,100,2.1,0,6,0,13,9,1,0,6,2,0,9,2,1,3,1,6,2,0,0,1
347,2.2,33,3,0,0,0,2,0,3,0,1,1,0,0,0,1,1,0,0,0,0,2,0
348,3.2,75,2.8,0,1,0,9,4,0,0,2,0,0,2,0,0,7,1,3,6,0,1,1
349,3.2,NA,2.7,0,0,0,1,1,0,1,0,1,0,1,0,2,4,0,0,0,0,2,5
350,4.7,94,2.2,1,10,0,8,3,7,0,3,1,0,2,2,1,3,2,4,5,0,2,0
351,3.2,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,3.8,NA,2.7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
353,3.6,NA,3.1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
354,4.5,100,1.9,2,3,0,6,7,1,0,4,0,0,1,1,1,0,1,3,1,0,1,0
355,4.1,NA,2.3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0
356,4.5,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,3.8,NA,3.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
358,4,NA,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
359,4.8,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3.3,NA,2.9,0,0,0,2,3,0,0,1,0,0,1,0,0,1,1,3,2,0,0,1
361,4.9,100,2.5,2,1,0,6,4,6,0,4,1,0,0,0,0,3,3,5,0,0,0,0
362,4.8,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,4.8,NA,4.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
364,3.9,NA,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,2,NA,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
366,3.4,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,3.7,NA,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,4.5,100,1.5,0,1,0,7,0,5,0,0,0,0,7,1,0,0,0,1,0,0,0,0
369,4.1,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,3.6,NA,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
371,2.3,NA,3.5,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,4,0,0,1
372,2.8,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,4.3,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,4.2,82,2.5,0,1,0,3,13,0,0,3,0,0,2,1,0,7,0,2,1,0,0,1
375,4.9,NA,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,4.6,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,3.5,75,2.9,3,1,1,2,2,1,0,3,0,0,2,2,0,3,0,2,6,0,0,4
378,4,61,2.7,2,3,2,17,4,7,0,5,0,0,7,2,1,14,4,6,5,0,2,3
379,3.8,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,4.5,NA,2.1,0,0,0,2,2,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
381,4.3,75,3.6,2,4,0,4,0,8,2,8,0,0,9,0,1,5,5,4,5,0,2,5
382,3,NA,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2
383,4.5,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,3.9,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,5,100,2.6,4,0,0,2,1,1,0,2,0,0,2,0,0,0,0,2,1,0,0,0
386,3,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
387,2,NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
388,4.7,NA,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0
389,4.4,NA,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,5,NA,2.5,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
391,2,NA,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,3.3,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,4.1,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,4.1,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,4.2,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,4.5,87,2.5,4,17,0,9,17,1,1,17,1,0,4,2,1,21,5,8,12,3,3,3
397,4,NA,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,4.7,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,4,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4.3,NA,2.5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0
401,2.9,NA,3.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
402,2.2,NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,2,NA,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,3.8,NA,2.7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
405,5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,3.7,100,1.9,1,0,0,1,5,4,0,0,1,0,4,0,3,3,1,0,2,0,0,0
407,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,4.7,NA,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
409,4.8,100,1.4,3,9,0,14,11,3,0,6,0,0,20,8,0,0,2,18,3,0,0,0
410,4.3,76,2.5,11,10,0,20,17,5,3,16,6,0,10,3,5,28,11,20,24,0,3,12
411,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,4.5,NA,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,5,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,5,NA,3,1,0,0,1,0,2,0,2,0,0,0,1,1,0,0,2,0,0,1,1
415,4.3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,1.7,NA,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,4.2,83,3.5,4,8,1,5,1,11,0,2,0,0,12,12,3,13,0,32,12,1,2,6
418,1.5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,2.6,43,4,2,0,0,0,2,2,0,0,0,0,0,0,2,6,0,0,4,1,1,1
420,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,4.9,NA,1.8,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
422,3.7,75,2.7,1,0,0,7,13,3,0,4,0,0,1,4,1,9,4,6,8,0,1,1
423,2.3,NA,3.1,0,1,0,1,1,1,1,2,0,0,0,0,0,6,2,1,8,0,0,8
424,3.8,88,2.5,0,0,0,6,6,19,1,4,0,0,5,2,1,9,8,5,13,0,0,5
425,2.6,NA,3,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,3,1,0,4
426,4.5,NA,2.1,0,0,0,2,2,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
427,4.8,NA,1.3,0,1,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
428,4.8,92,2.2,2,2,0,9,6,0,0,8,0,0,0,2,1,2,0,4,2,0,1,1
429,3.6,65,3.4,1,2,0,2,6,2,0,4,3,0,1,2,1,6,0,2,3,0,7,3
430,4.6,NA,2.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
431,4.9,NA,1.3,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
432,4.5,100,1.2,3,0,0,2,3,7,0,1,4,0,6,0,0,0,0,2,1,0,0,0
433,2.7,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
434,1,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,2.4,NA,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,5,NA,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
437,2.1,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,1,2,4
438,4,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,1.3,NA,4.6,0,0,1,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,1,5
440,5,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,5,NA,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
442,1.9,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,4.5,91,2.7,9,12,0,25,6,8,0,9,2,2,5,5,4,10,6,8,10,0,1,3
444,1,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,3.6,NA,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,3.9,50,2.1,1,0,1,0,2,0,0,0,1,0,0,0,0,4,0,2,1,0,0,0
447,4.8,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,2.8,NA,3.9,0,0,0,3,1,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0
449,3.2,NA,4.2,1,1,0,2,0,0,0,0,1,0,0,0,2,2,0,0,5,0,1,3
450,4.8,NA,1.8,0,0,0,3,1,0,0,1,0,0,5,0,0,2,0,0,1,0,0,0
451,4.9,NA,1.5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
452,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,4.7,NA,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,5,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,1.9,NA,3.8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,6
457,2.7,NA,3.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,4
458,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,2.3,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,5,NA,1.5,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,5,NA,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
463,4.2,63,2.4,0,2,1,3,5,1,4,2,2,0,1,3,3,9,2,5,1,0,1,3
464,2.6,NA,2.6,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,3,0,1,3
465,4.2,NA,1.8,0,0,0,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
466,5,100,2.8,1,1,0,2,0,0,0,6,0,2,3,2,0,0,0,3,1,0,0,0
467,4.7,NA,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,3.8,NA,2.7,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
469,3.2,NA,3.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,4.7,100,2.2,2,7,0,6,4,9,0,3,0,0,0,3,0,2,2,3,3,0,0,0
471,5,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,4.5,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,4.7,NA,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,3.6,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,3.6,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,2.1,NA,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,4.9,97,2.1,12,13,0,15,3,0,0,9,0,0,11,10,1,3,0,11,2,0,2,1
478,3,NA,3.4,0,0,0,0,0,1,0,2,0,0,1,1,0,7,0,0,6,0,0,4
479,4.1,NA,2.2,0,0,0,4,4,0,0,6,0,1,0,0,1,5,1,0,1,0,0,1
480,3.5,NA,2.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
481,3.4,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,5,NA,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
483,3.8,NA,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,3,NA,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
485,1,NA,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
486,2.2,NA,4.2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,0,6,0,0,6
487,1.7,NA,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
488,4.2,NA,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
489,4.9,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,4.3,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,3.2,NA,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,4.7,88,2.2,2,1,0,7,11,8,0,5,1,0,1,1,1,10,3,4,1,0,0,2
493,4.3,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,3.5,NA,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
495,4.1,NA,2.1,1,0,0,1,1,4,0,3,0,0,1,0,0,2,5,1,1,0,0,0
496,3.2,NA,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,5,100,2,0,5,0,15,2,11,1,4,0,0,4,7,0,1,6,5,7,0,1,1
498,4.7,76,2.4,0,12,0,15,13,0,1,11,5,0,10,3,0,23,4,12,9,0,3,8
499,1.9,47,4,0,1,12,2,4,3,1,1,3,0,1,1,5,11,1,0,7,0,3,20
500,3.5,62,2.8,2,2,0,2,6,5,0,3,2,0,2,0,1,7,2,3,10,1,3,10
501,5,100,3.2,2,1,0,3,3,0,0,2,0,0,1,3,0,0,0,4,1,0,0,0
502,3.4,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,2.9,NA,3.5,0,0,0,1,0,0,1,3,0,0,0,1,1,3,0,0,0,0,0,0
504,3.8,NA,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
505,3.8,NA,2.4,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0
506,3.4,89,3.2,0,6,0,5,3,2,0,1,0,0,2,2,4,4,0,4,13,0,1,3
507,4.5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,4.5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,4.6,NA,1.8,0,0,0,2,5,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0
510,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,4.3,NA,1.3,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
512,3.5,75,2.8,0,5,0,2,4,0,1,3,2,0,3,0,2,5,1,1,15,1,2,3
513,4.3,NA,2.6,0,1,0,6,4,1,0,1,0,0,0,0,2,6,0,3,4,0,0,0
514,2.4,NA,4.1,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,1,3,0,0,4
515,5,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,4,58,2,3,8,1,29,12,11,3,12,4,0,12,6,6,6,1,16,9,0,7,9
517,3,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,2.8,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,2.5,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,2.9,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,4.7,NA,1.3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0
522,4.7,NA,1.3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0
523,4.7,NA,2.3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
524,4.3,NA,2.2,0,1,0,6,2,3,0,1,1,0,1,1,1,4,1,5,1,0,0,4
525,2.3,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,4.2,80,3.2,1,1,0,2,0,2,0,5,0,0,0,2,0,0,0,2,0,0,1,2
527,3.2,46,3.6,2,0,0,5,0,2,0,2,0,0,1,3,2,4,0,3,2,1,0,1
