profid,quality,would_take_again,difficulty,accessible,amazing_lectures,pop_quizzes,caring,clear_grading,extra_credit,lots_readings,good_feedback,graded_few_things,group_projects,hilarious,inspirational,lectures_heavy,lots_homework,participation_matters,respected,cant_skip_class,many_papers,test_heavy,tough_grader
60,4.6,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,NA,3.4,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0
62,4.8,100,1.9,2,2,0,6,2,7,0,2,1,0,2,4,0,0,1,2,0,0,0,0
63,4.7,100,2,1,3,0,11,5,2,0,7,0,0,2,1,0,3,1,7,1,0,0,0
64,4.6,80,1.9,1,13,0,9,3,4,0,7,0,0,17,14,0,2,2,16,12,0,0,0
65,3.1,NA,3.2,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2
66,2.6,NA,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4.8,88,2.1,3,13,0,11,1,9,0,5,0,0,5,4,0,1,0,10,5,0,1,2
68,4.5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4.3,100,1.8,2,0,0,8,8,10,0,3,0,0,0,0,0,1,5,4,0,0,0,0
70,4.9,NA,1.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
71,3.7,NA,1.9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72,4.9,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4.9,NA,1.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,3.5,NA,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4.5,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2.6,NA,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
77,4.5,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3.3,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2.4,NA,3.6,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
80,4.9,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2.1,NA,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4,73,3.5,2,3,0,2,1,1,0,0,0,0,6,1,1,6,0,3,1,0,3,7
83,3,NA,3.4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0
84,5,100,3.2,0,1,0,5,0,4,0,4,0,0,0,2,0,7,2,3,5,0,0,1
85,4.3,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4.1,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4.3,83,3,0,0,0,1,1,0,0,3,0,0,1,1,1,1,3,3,2,1,0,0
89,3.5,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3.9,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4.3,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,3,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2.8,NA,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
94,5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4.3,NA,2.1,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0
96,4,77,2.9,1,7,1,9,3,5,0,4,0,0,4,4,0,9,2,3,3,0,0,2
97,2.5,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3.3,20,3.2,1,2,0,9,12,1,7,4,5,0,0,0,1,9,0,7,29,0,9,47
99,4.9,NA,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
100,3.4,47,2.8,5,4,0,5,4,9,2,2,2,0,4,1,1,8,2,6,5,0,1,3
101,4.6,94,2.1,3,6,0,11,4,0,1,12,0,3,9,4,0,3,1,4,12,0,1,1
102,4.5,100,1.9,0,5,2,23,11,12,0,5,0,0,8,1,0,5,4,3,16,0,0,0
103,4.7,NA,1.8,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,2,0,0,0,0
104,3.5,NA,3,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,3
